Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
gh-unit/gh-unit,309,174,168,0,62,27,581,727,434,22,0,0,FSE
sd6352051/NiftyDialogEffects,722,6,6,0,6,4,97,801,55,6,0,90,FSE
meteoric/meteor-ionic,219,383,246,14,65,46,279,89,151,24,0,0,FSE
farhadi/html5sortable,377,50,50,0,50,5,36,558,24,4,0,24,FSE
kartograph/kartograph.js,228,72,36,4,8,6,240,676,230,5,0,0,FSE
lawloretienne/QuickReturn,266,31,24,0,4,3,190,1421,185,3,0,33,FSE
Lokaltog/vim-powerline,370,68,68,0,68,6,259,92,210,23,0,210,FSE
amoffat/bootstrap-application-wizard,390,120,62,13,20,10,98,560,33,8,0,0,FSE
ququplay/jquery-mobile-flat-ui-theme,384,32,19,2,3,3,82,419,53,2,0,0,FSE
facebookarchive/three20,1479,349,348,1,348,112,1778,415,736,56,0,0,FSE
docker/docker-registry,879,1103,913,11,446,363,1205,90,376,91,0,0,FSE
yahoo/mojito,214,1393,1353,3,1006,837,4046,722,873,31,0,0,FSE
syedhali/EZAudio,822,393,195,25,58,34,483,1807,453,16,0,453,FSE
arunoda/meteor-up,281,1352,1135,15,163,103,1262,210,833,54,0,919,FSE
facebookarchive/huxley,286,83,42,11,13,5,68,386,41,7,0,0,FSE
steipete/PSTCollectionView,494,175,175,0,175,143,569,886,325,68,0,325,FSE
schneiderandre/popping,672,22,18,2,8,3,144,705,138,1,0,4,FSE
jimbojsb/launchrocket,122,27,25,2,25,20,108,997,97,8,0,97,FSE
gimenete/iOS-boilerplate,459,31,19,3,9,4,27,37,15,4,0,21,FSE
rafaelconde/ios8-ui-kit,145,9,8,0,5,3,20,51,8,4,0,16,FSE
HansPinckaers/GrowingTextView,453,134,63,23,38,25,116,183,71,21,0,71,FSE
youknowone/UI7Kit,199,165,122,0,44,34,414,2792,355,18,0,352,FSE
coresmart/persistencejs,240,199,109,16,74,54,471,835,273,37,0,0,FSE
tjerkw/Android-SlideExpandableListView,741,113,67,8,21,13,95,298,65,9,0,62,FSE
MojoJolo/textteaser,251,37,31,0,12,12,49,1076,26,8,0,0,FSE
Simbul/baker,378,1262,1090,0,63,36,942,48,391,14,0,411,FSE
rasmusbergpalm/DeepLearnToolbox,2276,186,104,13,35,20,188,568,110,10,0,126,FSE
Famous/famous,687,711,707,2,255,39,932,94,240,67,0,0,FSE
soffes/sstoolkit,573,198,197,1,75,48,851,473,691,36,0,748,FSE
rsms/kod,173,56,53,3,53,31,664,39,438,18,0,438,FSE
componentjs/component,306,643,610,0,119,75,766,727,544,49,0,0,FSE
BorisMoore/jquery-tmpl,1007,196,138,3,23,2,136,1289,87,7,0,4,FSE
dmytrodanylyk/circular-progress-button,1182,129,125,4,125,69,220,2531,91,11,0,73,FSE
nostalgiaz/bootstrap-switch,1448,733,533,8,166,83,687,368,241,38,0,0,FSE
jakiestfu/Snap.js,665,288,133,26,43,11,107,48,92,10,0,92,FSE
openaphid/android-flip,1251,147,65,1,11,3,114,2864,53,2,0,54,FSE
git-game/git-game,638,66,38,19,16,5,6,192,6,1,0,0,FSE
rickyrauch/Balloons.IO,493,117,78,2,20,16,353,1276,142,11,0,3,FSE
abrasive/shairport,1103,143,125,18,125,67,476,209,137,50,0,136,FSE
bigspaceship/shine.js,181,15,11,1,6,4,58,302,54,3,0,0,FSE
pkyeck/socket.IO-objc,441,233,149,22,51,20,158,167,70,21,0,102,FSE
dbushell/Nestable,992,88,28,60,28,6,59,975,51,7,0,50,FSE
cliftonc/calipso,307,274,230,0,99,64,1086,830,606,34,0,654,FSE
mattgallagher/AudioStreamer,553,106,28,6,13,6,61,356,40,6,0,4,FSE
insoshi/insoshi,534,5,3,2,3,0,1321,4540,1144,6,0,0,FSE
scripted-editor/scripted,166,307,192,2,20,13,1131,1863,486,11,0,0,FSE
mattgemmell/MGSplitViewController,386,101,36,18,13,1,7,682,5,2,0,6,FSE
arturadib/strapdown,410,97,32,14,11,2,49,319,47,3,0,46,FSE
kevana/ui-for-docker,701,107,104,3,104,88,400,64,179,31,0,171,FSE
Swiip/generator-gulp-angular,665,1195,1032,13,364,290,1032,123,396,89,0,457,FSE
blueimp/Bootstrap-Image-Gallery,897,22,22,0,22,7,86,312,76,5,0,76,FSE
myell0w/MTStatusBarOverlay,325,102,65,14,30,18,206,467,175,16,0,175,FSE
